time;send_diff;receive_diff;;;
10,161444;10,194621;10,161444;;;
20,355805;10,19419;10,194361;;;
30,56177;10,194182;10,205965;;;
40,744795;10,194659;10,183025;;;
50,941578;10,194091;10,196783;;;
61,134349;10,194281;10,192771;;;
71,328472;10,194945;10,194123;;;
81,52509;10,194323;10,196618;;;
91,721416;10,195716;10,196326;;;
101,913016;10,194492;10,1916;;;
112,107594;10,194161;10,194578;;;
122,302548;10,1942;10,194954;;;
132,497861;10,19484;10,195313;;;
142,692076;10,194236;10,194215;;;
152,886322;11,088231;10,194246;;;
163,082199;9,30115;10,195877;;;
173,277538;10,194488;10,195339;;;
183,472168;10,195559;10,19463;;;
193,665588;10,194264;10,19342;;;
203,8598;10,853449;10,194212;;;
214,054943;9,535129;10,195143;;;
224,250358;10,195021;10,195415;;;
234,444493;10,1943;10,194135;;;
244,640277;10,194354;10,195784;;;
254,836174;10,625206;10,195897;;;
265,029925;9,765755;10,193751;;;
275,223765;10,194207;10,19384;;;
285,419166;10,194328;10,195401;;;
295,613506;10,195244;10,19434;;;
305,80904;10,374606;10,195534;;;
316,003091;10,013748;10,194051;;;
326,196377;10,194229;10,193286;;;
336,392431;10,194186;10,196054;;;
346,587803;10,196098;10,195372;;;
356,782393;10,194192;10,19459;;;
366,976199;10,194278;10,193806;;;
377,169942;10,194205;10,193743;;;
387,364419;10,194371;10,194477;;;
397,55959;10,194262;10,195171;;;
407,754026;10,194193;10,194436;;;
417,947267;10,194161;10,193241;;;
428,144451;10,194271;10,197184;;;
438,339699;10,195629;10,195248;;;
448,533557;10,194519;10,193858;;;
458,726409;10,194267;10,192852;;;
468,921815;10,194274;10,195406;;;
479,115072;10,194192;10,193257;;;
489,309356;10,19421;10,194284;;;
499,505456;10,194685;10,1961;;;
509,704159;10,194443;10,198703;;;
519,895004;10,194304;10,190845;;;
530,088981;10,195917;10,193977;;;
540,283433;10,194278;10,194452;;;
550,479058;10,194182;10,195625;;;
560,673093;10,194215;10,194035;;;
